user_id,user_id,item_id,item_id,timestamp,rating,review,sentences
A1VDKIKK9U4VKT,A1VDKIKK9U4VKT,B001IEWX2A,B001IEWX2A,1364428800,4.0,This toy has been discontinued by Fisher Price. It is one I think they should improve and bring back. The only real downfall to this toy is the open back. You drop the letters in and they fall right out the back. My baby got this toy for Christmas and she loves it. The little birdie on the top is super cute. My baby prefers the letters to the package. She can certainly sit and play with it for long periods of time. Very nice toy.,['very nice toy']
A1WHS75R55GWQL,A1WHS75R55GWQL,B004CVJQJY,B004CVJQJY,1358640000,4.0,This is a very cute toy.  Priced decently.  The only drawback is that the dolls fall out if you don't strap them in and they are a bit of a pain to get strapped down.  Otherwise this is a cute addition to the Lalaloopsy sets.,['This is a very cute toy']
A3FKPBNI7UWQFW,A3FKPBNI7UWQFW,B0041G2YN0,B0041G2YN0,1365292800,4.0,"I picked up this game when our son was still too young for it (1.5 yrs old, but loves to build stuff), but have since brought it out when we had house guests with 5-6 yr olds. The older kids enjoyed this game for about an hour, then became bored with it.",['5 yrs old']
A2YSWNMW4E78GF,A2YSWNMW4E78GF,B004GEBSK2,B004GEBSK2,1335744000,5.0,"We received this as a gift for our son.  There are not a lot of features, and it is a little hard for him to open, but both my boys play with it a lot.  The pieces are big enough that I don't have to worry about my youngest choking on them, and my oldest is three now and still plays with it.  We've had the toy for two years now and it has held up through quite a beating, and still looks new. It can be purchased a lot cheaper at other stores than for what it is listed here.  Great value for the money.  We actually bought another one to keep at grandparents home for a good toy when we visit.  We paid $12 or $13 for it.",['Great value for the money']
A3AE2LAXSIML73,A3AE2LAXSIML73,B00G4VN3EY,B00G4VN3EY,1397779200,5.0,"Wow, what a great deal.  These dresses are adorable.  Considering the price I have no complaints.  Thank you very much!",['what a great deal']
AWYV2R69Z0GSG,AWYV2R69Z0GSG,B00BZ8KN94,B00BZ8KN94,1385510400,4.0,"Cute game.  Basically, there are several compartments that you can peak into and find treasures (you have to find treasures that match the cards).  What makes it interesting, is that you can shake the box and have all the treasures shift to a completely different place, even to a different compartment.  It's basically a Look & Find that continually changes.  My 4 and 6 year old girls both enjoyed it.  We just opened the box so I can't speak to its staying power but I suspect it will be a keeper.",['cute game']
A34BGBLEA2522I,A34BGBLEA2522I,B000FKCYAO,B000FKCYAO,1358294400,5.0,This is the best stroller I've bought. I've gone through to strollers that break with in the week of buying them. This one is strong...caught my three year old pushing her two year old sister in it with no issues. Worth every penny!,['Worth every penny']
A1LZI9TLEJ3405,A1LZI9TLEJ3405,B002WB7WQ0,B002WB7WQ0,1379808000,5.0,"Thomas pieces are just right for little fingers to play with, and carry around in a pocket!  Good buy !",['Good buy']
A2TJQUPTZOD7QE,A2TJQUPTZOD7QE,B004FSE52C,B004FSE52C,1370044800,4.0,"this is a fun game, picked it up on a gold box deal of the day sale and the price was right.",['This is a fun game']
A303DPVG2ULRF3,A303DPVG2ULRF3,B000NDMDHC,B000NDMDHC,1372377600,4.0,"It works if you have friends that do not mind laying a smack down or just play out of spite, good times :)",['good times']
A1QT3N5FUQ4I47,A1QT3N5FUQ4I47,B000FIOB2A,B000FIOB2A,1295654400,5.0,"I have no complaints about this ""trike"". It seems durable and sturdy and went together well. My son's interested in it and loves to ring the bell. For all that, I give 5 stars.However, it might be helpful for some parents to hear that my son is around 30"" and is really too short to ride this. He is small for his age... measured 29.5 a couple of weeks before we gave it to him. It's been another month and I think he's grown, and still can't really reach the floor if he's on the seat. On the other hand, I don't know that there are any similar options for shorter kids, so no regrets about buying this one, just thought that might be helpful info for some parents.",['On the other hand']
A265IEMG2K5R4W,A265IEMG2K5R4W,B00ANKD7V6,B00ANKD7V6,1383523200,5.0,"My wife is a puzzler, and there's kind of a limit to how many puzzles I can get her without getting bored with it. But this little doodad really fit the bill! It has 6 durable and flexible plastic trays in the shape of puzzle pieces. They are stackable, so you can use them in minimal space. The box calls them ""interlocking"" or some such thing, but that's not to be confused with the reality that they don't actually ""lock"" together; they just lay nicely, shape to shape. This does help somewhat with stability on the table top, as you have to move all to move one, rather than having them just shift at any touch. And I know enough about puzzles to know that shifting leads to groaning and words. Anyway, they're stored in a really nice (not cheapo) puzzle-type box, so they can store in your puzzle closet. I'm assuming you have a puzzle closet, because you're reading this review. She's happy, I'm happy. Definitely a win-win. Good product.","['Good product', ""I'm happy""]"
A3LC0ZUZGZTGBV,A3LC0ZUZGZTGBV,B004S6BXNA,B004S6BXNA,1380240000,4.0,"This toy is very durable.  I babysit and one of the boys is VERY rough on toys and he plays with this often, throwing it down banging it etc..it still works perfectly.  The only thing I hate about this toy is the volume.  It has a low and loud but the loud is Super loud and the low is loud.  Usually toys noises don't bother me but this one can be a bit obnoxious.",['This toy is very durable']
